Line	Processed_line
Butler University's College of Business. He has taught in executive development programs at Oklahoma State University, the University of Oklahoma, Texas Christian University, and the University of the Pacific. Dr. Williams was ­honored by TCU's M.J. Neeley School of Business with the undergraduate Outstanding Faculty Teaching Award, was a recipient of TCU's Dean's Teaching Award, and was TCU's nominee for the U.S. Professor of the Year competition sponsored by the	butler university 's college of business . he has taught in executive development programs at oklahoma state university , the university of oklahoma , texas christian university , and the university of the pacific . dr. williams was ­honored by tcu 's m.j. neeley school of business with the undergraduate outstanding faculty teaching award , was a recipient of tcu 's dean 's teaching award , and was tcu 's nominee for the u.s. professor of the year competition sponsored by the
Carnegie Foundation for the ­Advancement of Teaching. He has written three other textbooks: Management, Effective	carnegie foundation for the ­advancement of teaching . he has written three other textbooks : management , effective
Williams at crwillia@butler.edu, and Marce Kelly at marcella.kelly@gmail.com. We wish you a fun, positive,	williams at crwillia@butler.edu , and marce kelly at marcella.kelly@gmail.com . we wish you a fun , positive ,
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. WCN 02-200-203	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . wcn 02 - 200 - 203
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. Due to electronic rights, some third party content may be suppressed from the eBook and/or eChapter(s).	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . due to electronic rights , some third party content may be suppressed from the ebook and/or echapter(s ) .
Editorial review has deemed that any suppressed content does not materially affect the overall learning experience. Cengage Learning reserves the right to remove additional content at any time if subsequent rights restrictions require it.	editorial review has deemed that any suppressed content does not materially affect the overall learning experience . cengage learning reserves the right to remove additional content at any time if subsequent rights restrictions require it .
Day by day, the business world simply spins faster. Industries rise—and sometimes fall—in the course of a few short months. Technologies forge instant connections across the globe. Powerful new trends surface and	day by day , the business world simply spins faster . industries rise — and sometimes fall — in the course of a few short months . technologies forge instant connections across the globe . powerful new trends surface and
­submerge, sometimes within less than a year. In this ­fast-paced, fluid environment, change is the only constant. According to Charles Darwin, it is not the strongest of the species that survive, nor the most intelligent, but the one most responsive to change. And so it is with business.	­submerge , sometimes within less than a year . in this ­fast - paced , fluid environment , change is the only constant . according to charles darwin , it is not the strongest of the species that survive , nor the most intelligent , but the one most responsive to change . and so it is with business .
They seek the opportunities and avoid the pitfalls. They carefully evaluate risks. They completely understand their market, and they adhere to ethical practices. Their core goal: to generate long-term profits by delivering unsurpassed value to their customers. value The relationship between	they seek the opportunities and avoid the pitfalls . they carefully evaluate risks . they completely understand their market , and they adhere to ethical practices . their core goal : to generate long - term profits by delivering unsurpassed value to their customers . value the relationship between
Over the past decade, the price of a good or a service the explosive growth in soand the benefits that it offers its cial media has played a pivcustomers. otal new role for businesses	over the past decade , the price of a good or a service the explosive growth in soand the benefits that it offers its cial media has played a pivcustomers . otal new role for businesses
and consumers alike in today's dynamic business environment. Digging deeper into current culture, several leadingedge trendspotting experts have recently identified an array of key trends likely to shape the world's economies as we close out the turbulent teenage years of the twentyfirst century. A few highlights:	and consumers alike in today 's dynamic business environment . digging deeper into current culture , several leadingedge trendspotting experts have recently identified an array of key trends likely to shape the world 's economies as we close out the turbulent teenage years of the twentyfirst century . a few highlights :
Instant Skills: Remember how the rise of Instagram made all of us into pseudo professional photographers? Well, Trendwatching.com predicts that hundreds of millions of status-hungry	instant skills : remember how the rise of instagram made all of us into pseudo professional photographers ? well , trendwatching.com predicts that hundreds of millions of status - hungry
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. WCN 02-200-203	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . wcn 02 - 200 - 203
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. Due to electronic rights, some third party content may be suppressed from the eBook and/or eChapter(s).	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . due to electronic rights , some third party content may be suppressed from the ebook and/or echapter(s ) .
Editorial review has deemed that any suppressed content does not materially affect the overall learning experience. Cengage Learning reserves the right to remove additional content at any time if subsequent rights restrictions require it.	editorial review has deemed that any suppressed content does not materially affect the overall learning experience . cengage learning reserves the right to remove additional content at any time if subsequent rights restrictions require it .
“consumers will care less about what they have or buy and more about what they can do or create”— seeking services that eliminate time and learning barriers to their creation of professional quality output.	“ consumers will care less about what they have or buy and more about what they can do or create ” — seeking services that eliminate time and learning barriers to their creation of professional quality output .
Fun and Games: Research suggests that the average human attention span, currently only slightly longer than that of a goldfish, is decreasing rapidly.	fun and games : research suggests that the average human attention span , currently only slightly longer than that of a goldfish , is decreasing rapidly .
Not surprisingly, capturing and retaining the attention of customers, employees, and investors is more challenging than ever. In spite of declining attention spans, creating a sense of fun is gaining momentum as an effective tool for engaging audiences. It's fairly easy to understand why—wouldn't you rather do something fun than something boring? Swedish amusement park Liseberg recently released an app to accompany its new Helix roller coaster. Attendees standing in line for the attraction could use the app to play a free Helix-themed game, and every 15 minutes, the player with the highest score got a pass to skip the line. This strategy was not only creative, but it also increased visitors' fun! Similarly, workplace messaging app Slack became one of the fastest growing business applications in history due, in part, to its playful sense	not surprisingly , capturing and retaining the attention of customers , employees , and investors is more challenging than ever . in spite of declining attention spans , creating a sense of fun is gaining momentum as an effective tool for engaging audiences . it 's fairly easy to understand why — wouldn't you rather do something fun than something boring ? swedish amusement park liseberg recently released an app to accompany its new helix roller coaster . attendees standing in line for the attraction could use the app to play a free helix - themed game , and every 15 minutes , the player with the highest score got a pass to skip the line . this strategy was not only creative , but it also increased visitors ' fun ! similarly , workplace messaging app slack became one of the fastest growing business applications in history due , in part , to its playful sense
of humor. For instance, Slack allows users to create custom emojis using colleagues' faces and displays error messages such as, “We've seen this problem clear up with a restart of your browser, a solution which we suggest to you now only with great regret and self-loathing.”	of humor . for instance , slack allows users to create custom emojis using colleagues ' faces and displays error messages such as , “ we 've seen this problem clear up with a restart of your browser , a solution which we suggest to you now only with great regret and self - loathing . ”
But do we like the robots themselves? Many people imagine a bleak robotic future with robocops out of control and robo-workers putting human workers out of work. That may well happen, but Trendwatching.com predicts that many of us will thoroughly enjoy our early contacts with robots. For instance,	but do we like the robots themselves ? many people imagine a bleak robotic future with robocops out of control and robo - workers putting human workers out of work . that may well happen , but trendwatching.com predicts that many of us will thoroughly enjoy our early contacts with robots . for instance ,
Düsseldorf Airport in Germany recently unveiled the world's first robotic parking valet. Customers leave their car, and a robot picks it up and positions the vehicle in one of 249 dedicated spaces. The system	düsseldorf airport in germany recently unveiled the world 's first robotic parking valet . customers leave their car , and a robot picks it up and positions the vehicle in one of 249 dedicated spaces . the system
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. WCN 02-200-203	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . wcn 02 - 200 - 203
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. Due to electronic rights, some third party content may be suppressed from the eBook and/or eChapter(s).	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . due to electronic rights , some third party content may be suppressed from the ebook and/or echapter(s ) .
Editorial review has deemed that any suppressed content does not materially affect the overall learning experience. Cengage Learning reserves the right to remove additional content at any time if subsequent rights restrictions require it.	editorial review has deemed that any suppressed content does not materially affect the overall learning experience . cengage learning reserves the right to remove additional content at any time if subsequent rights restrictions require it .
connects to the airport's flight database, meaning that customers find their vehicle ready and waiting for them upon their return. Hard to get more convenient than that—and the robotic valet doesn't even expect a tip!1	connects to the airport 's flight database , meaning that customers find their vehicle ready and waiting for them upon their return . hard to get more convenient than that — and the robotic valet does n't even expect a tip!1
Anyone who was nearly plowed over in 2016 by someone with his or her head down—totally engrossed in the search for an elusive Pokemon	anyone who was nearly plowed over in 2016 by someone with his or her head down — totally engrossed in the search for an elusive pokemon
(or maybe you were the one plowing people down)—knows just how immersive a virtual or augmented reality experience can be. Trendspotting experts at Trendwatching.com boldly project that “digital experiences will quickly come to carry a statusweight equal to ‘real' experiences, if not become more sought-after and prized.” Take music concerts for example. The holographic	( or maybe you were the one plowing people down)—knows just how immersive a virtual or augmented reality experience can be . trendspotting experts at trendwatching.com boldly project that “ digital experiences will quickly come to carry a statusweight equal to ‘ real ' experiences , if not become more sought - after and prized . ” take music concerts for example . the holographic
Shakur at the 2012 Coachella music festival (15 years after the artist's death) garnered more headlines than any other concert that year. A holographic Michael	shakur at the 2012 coachella music festival ( 15 years after the artist 's death ) garnered more headlines than any other concert that year . a holographic michael
Jackson made similar waves two years later at the 2014 Billboard Awards. China, an early developer and adopter of virtual reality games and shopping programs, seems poised to become a leading-edge player in the virtual experience economy.2	jackson made similar waves two years later at the 2014 billboard awards . china , an early developer and adopter of virtual reality games and shopping programs , seems poised to become a leading - edge player in the virtual experience economy.2
1980 and 1995—likely includes many of the students reading this text. Millennials have been at the butt end of a lot of jokes about their outsized sense of entitlement, large number of meaningless trophies, and “addiction” to their cell phones. The	1980 and 1995 — likely includes many of the students reading this text . millennials have been at the butt end of a lot of jokes about their outsized sense of entitlement , large number of meaningless trophies , and “ addiction ” to their cell phones . the
“Millennial Pledge” that it suggested all millennials affirm before they qualify for actual adulthood. A few excerpts:	“ millennial pledge ” that it suggested all millennials affirm before they qualify for actual adulthood . a few excerpts :
Joking aside, millennials now represent both the largest customer and the largest employee segment of the population, which means that successful businesses must take them seriously.	joking aside , millennials now represent both the largest customer and the largest employee segment of the population , which means that successful businesses must take them seriously .
As baby boomers continue to retire in record numbers, businesses will soon begin to face a severe leadership gap. Training and developing millennials to fill that gap will be a critical success factor for many businesses in the very near future.	as baby boomers continue to retire in record numbers , businesses will soon begin to face a severe leadership gap . training and developing millennials to fill that gap will be a critical success factor for many businesses in the very near future .
■■ Preparing for Generation Z: As the last millennials move through college and enter the workforce, Generation Z—comprised of people born between 1996 and 2011—is rolling in right behind them. Generation Z, also known as the Digital Native generation, outnumbers millennials by one million people. In fact, more than a quarter of America's population belongs to this generation.	■ ■ preparing for generation z : as the last millennials move through college and enter the workforce , generation z — comprised of people born between 1996 and 2011 — is rolling in right behind them . generation z , also known as the digital native generation , outnumbers millennials by one million people . in fact , more than a quarter of america 's population belongs to this generation .
Generation Z as an exaggerated version of millennials, it wouldn't do them justice— they are fundamentally different. Millennials shaped the Internet, but digital natives can't remember a world without	generation z as an exaggerated version of millennials , it would n't do them justice — they are fundamentally different . millennials shaped the internet , but digital natives ca n't remember a world without
Kjpargeter/Shutterstock.com it. The defining event of generation Z was the Great Recession, which means that many of them don't trust business. While their millennial counterparts were glad to be “walking billboards” for trendy brands such as Hollister, Abercrombie &	kjpargeter / shutterstock.com it . the defining event of generation z was the great recession , which means that many of them do n't trust business . while their millennial counterparts were glad to be “ walking billboards ” for trendy brands such as hollister , abercrombie &
Fitch, and Supreme, the most stylish digital natives are likely to sport vintage clothing from thrift stores.	fitch , and supreme , the most stylish digital natives are likely to sport vintage clothing from thrift stores .
Digital natives don't feel entitled to a great job when they graduate college; they think they'll be lucky to get one. In the meantime, they are saving their money, only spending when a business offers them value. Digital natives use their considerable technical prowess to seek out the best possible values; no-frills, only-pay-for-what-you-use businesses are highly appealing to them. Similar to millennials, digital natives tend to be extremely tolerant and inclusive, with little understanding of or room in their lives for bigotry of any kind. They also tend to have very short attention spans (8 seconds on average), in part because they juggle their lives among an	digital natives do n't feel entitled to a great job when they graduate college ; they think they 'll be lucky to get one . in the meantime , they are saving their money , only spending when a business offers them value . digital natives use their considerable technical prowess to seek out the best possible values ; no - frills , only - pay - for - what - you - use businesses are highly appealing to them . similar to millennials , digital natives tend to be extremely tolerant and inclusive , with little understanding of or room in their lives for bigotry of any kind . they also tend to have very short attention spans ( 8 seconds on average ) , in part because they juggle their lives among an
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. WCN 02-200-203	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . wcn 02 - 200 - 203
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. Due to electronic rights, some third party content may be suppressed from the eBook and/or eChapter(s).	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . due to electronic rights , some third party content may be suppressed from the ebook and/or echapter(s ) .
Editorial review has deemed that any suppressed content does not materially affect the overall learning experience. Cengage Learning reserves the right to remove additional content at any time if subsequent rights restrictions require it.	editorial review has deemed that any suppressed content does not materially affect the overall learning experience . cengage learning reserves the right to remove additional content at any time if subsequent rights restrictions require it .
In the wake of disastrous mistakes and outrageous mismanagement across our economy, it might be tough to remember that some mistakes are actually pretty amusing. Several examples might help remind you.	in the wake of disastrous mistakes and outrageous mismanagement across our economy , it might be tough to remember that some mistakes are actually pretty amusing . several examples might help remind you .
Athletica was forced to recall its popular (and expensive) yoga pants, because many women found them utterly see-through.	athletica was forced to recall its popular ( and expensive ) yoga pants , because many women found them utterly see - through .
Later in the year, the founder of the firm was forced to resign after blaming the problem on women with fat thighs who rubbed the fabric too sheer with multiple uses.3	later in the year , the founder of the firm was forced to resign after blaming the problem on women with fat thighs who rubbed the fabric too sheer with multiple uses.3
▪▪ Apple angst: In a rare display of new product development weakness, Apple released its Maps program before it was ready for the Big Time. Mostly harmless, the program baffled millions of trusting consumers. But in Fairbanks,	▪ ▪ apple angst : in a rare display of new product development weakness , apple released its maps program before it was ready for the big time . mostly harmless , the program baffled millions of trusting consumers . but in fairbanks ,
average of five different screens. In sum, millennials approached adulthood hoping to be discovered, while digital natives approach adulthood planning to work for success.7	average of five different screens . in sum , millennials approached adulthood hoping to be discovered , while digital natives approach adulthood planning to work for success.7
While you can certainly recognize a business when you see one, more formal definitions may help as you read through this book. A business is any organization or activity that provides goods and services in an effort to earn a Profit is the financial reward that comes from starting and running a business. More specifically, profit is the money that a business earns in sales (or revenue), minus expenses such as the cost of goods and the cost of salaries. But clearly, not every business earns a profit all the time. When a business brings in less money than it needs to cover expenses, it incurs a loss. If you launch a music label, for instance, you'll need to pay your artists, lease a studio, and purchase equipment, among other expenses. If your label generates hits, you'll earn more than enough to cover all your expenses and make yourself rich. But a series of duds could leave you holding the bag.	while you can certainly recognize a business when you see one , more formal definitions may help as you read through this book . a business is any organization or activity that provides goods and services in an effort to earn a profit is the financial reward that comes from starting and running a business . more specifically , profit is the money that a business earns in sales ( or revenue ) , minus expenses such as the cost of goods and the cost of salaries . but clearly , not every business earns a profit all the time . when a business brings in less money than it needs to cover expenses , it incurs a loss . if you launch a music label , for instance , you 'll need to pay your artists , lease a studio , and purchase equipment , among other expenses . if your label generates hits , you 'll earn more than enough to cover all your expenses and make yourself rich . but a series of duds could leave you holding the bag .
Just the possibility of earning a profit provides a powerful incentive for people of all backgrounds to launch their own enterprises. But unfortunately, the rate of new business start-ups has been decreasing over the past few years.	just the possibility of earning a profit provides a powerful incentive for people of all backgrounds to launch their own enterprises . but unfortunately , the rate of new business start - ups has been decreasing over the past few years .
international airport. Fortunately, there were no collisions— the worst harm done was to Siri's reputation as a navigator.4	international airport . fortunately , there were no collisions — the worst harm done was to siri 's reputation as a navigator.4
▪▪ Geography lessons needed: In 2016, Coca-Cola sent a promotional tweet featuring an outdated map of Russia.	▪ ▪ geography lessons needed : in 2016 , coca - cola sent a promotional tweet featuring an outdated map of russia .
Offended Russian patriots responded with pictures of themselves pouring the soft drink into toilets with the hashtag #BanCocaCola.5	offended russian patriots responded with pictures of themselves pouring the soft drink into toilets with the hashtag # bancocacola.5
▪▪ Thank you, Captain Obvious! A surprising number of firms just can't seem to credit their customers with even basic intelligence. Marks & Spencer's labeled one of their	▪ ▪ thank you , captain obvious ! a surprising number of firms just ca n't seem to credit their customers with even basic intelligence . marks & spencer 's labeled one of their
