transcriptionid	videoid	phrases_both	phrases_caption	phrases_video
9a443634-7f2e-4d3a-9ccd-0f1b6604c939	5d5ac9e4-567b-4ce1-a1b2-b4dd5197013c	syntagmatic relation, text retrieval, total number, general idea, relation discovery, paradigmatic relation	common words, word distribution, paradigmatic relations, syntagmatic relations, similarity function, scoring function	pseudo document, idea text, doc w, retrieval model, wi count, corresponding context document, text retrieval model, similar word, art syntagmatic relation, popular term, word w, idf weighting, general idea text, context vector, corresponding context, word pair, randomly pick word, word wi, two context, candidate word, paradigmatic relation discovery, highly similar word, highly weight term, idea text retrieval, similar word pair, two candidate word, two context document, different way, two candidate, total count, context document
6a9537c1-62fc-4f31-a8a7-bdfcad2f50eb	e212734f-6e3e-4124-ac91-f21ab1e126a1	topic model, text mining, word distribution, generative model, topic mining, probabilistic topic	data point, observed data, word distributions, special case, general idea, high probabilities, topic models, topic coverage, data mining, multiple topics, parameter values, world distribution, related words	world text datum, model datum generation, likely parameter, vocabulary coverage, text datum, word sense ambiguity, multiple word, flight play star, datum generation, mining problem, model datum, text document, data generation, subtle semantic variation, star genetic, sense ambiguity, genetic set, flight play, probabilistic topic mining, different knowledge, complicated topic, basketball star, real world, topic — weight, star genetic set, general topic, world text, collection c, play star genetic, computation task, probabilistic topic model, vocabulary set, perceive express, semantic variation, likely parameter value, expressive power, particular datum, power topic, text mining problem, output topic, parameter value, expressive power topic, play star, world observe world, analysis input, word sense
54ab232c-85cb-4829-abd0-6cbaed5f3fc8	ce34689a-3b10-4b2d-83e1-e79b589b9582	language model, word distribution, topic model, probabilistic topic	data point, unigram language, text mining, observed data, word distributions, generative model, total number, likelihood estimate, special case, maximum likelihood, maximum likelihood estimate, language models, topic models	probability distribution, language processing representation, probabilistic mechanism, lm mining paper, model part, sentiment analysis, statistical language model, lm mining, association sentiment, unigram lm mining, word association sentiment, word sequence, opinion mining, unigram lm, language processing, probabilistic topic model, topic mining, word association, association sentiment analysis, statistical language, simple language, processing representation, simple language model, language model part, mining paper
48b37a2f-5ca3-4b7b-9bfc-d841da37c566	9b1fc643-c08f-43ea-a801-ed76727f4c45	likelihood function, bayes rule, unigram language, language model, word distribution, generative model, maximum likelihood, topic mining	data point, conditional probability, posterior probability, text mining, observed data, likelihood estimator, likelihood estimate, special case, high probabilities, maximum likelihood estimate, bayesian inference, maximum likelihood estimator, parameter values, prior knowledge	probability distribution, maximum likelihood estimation, word distribution likelihood, datum likelihood, text datum, text datum unigram, max max, max problem, likelihood estimation, statistical language model, summary language, unigram language model, distribution likelihood function, bayesian estimation, high likelihood, summary language model, posterior distribution, datum unigram, statistical language, datum unigram language, ml estimate, max max problem, distribution likelihood
e6c92e3a-0169-4af1-96d7-3fe4a5303e3a	c1d82277-97a2-4db4-bb6a-a33df2745bd5	text mining, likelihood estimate, maximum likelihood, maximum likelihood estimate, topic model, probabilistic topic	likelihood function, data point, common words, unigram language, likelihood estimator, optimization problem, word distribution, language model, generative model, probabilistic models, maximum likelihood estimator, objective function, topic models	text datum, one topic, text representation, sentiment analysis, log - likelihood, mining paper mining, natural language text, q | mining, language text, simple case, opinion mining, mining one topic, natural language, probabilistic topic model, paper mining, docd text, topic mining, text mining paper, docd text datum, language text representation, mining paper
8eaf2971-31ff-40b7-9fc6-b91c7637f916	9e7e8290-40d0-41a5-a3a5-09c69371fbf4	unigram language, topic model, mixture model, word distribution, language model, generative model, probabilistic topic	data point, likelihood function, common words, likelihood estimator, topic word, likelihood estimate, word distributions, high probabilities, background words, special case, maximum likelihood, maximum likelihood estimate, maximum likelihood estimator, language models, topic models	background topic, text mining paper, I choice food, two word, text mining, background word, parameter two unigram, unigram lm, common word, unigram language model, two unigram language, probabilistic topic model, two word distribution, two unigram, topic choice, two unigram lm, mining paper
27d06808-2624-4922-a079-04dccb301dde	78873d30-24f0-456d-af04-2935c3ecf451	mixture model, topic model, probabilistic topic	likelihood function, common words, observed data, likelihood estimator, word distribution, topic word, background words, special case, high probabilities, topic models, maximum likelihood, maximum likelihood estimator, objective function, world distribution, background model	mixture model estimation, sentiment mining, word sentiment, opinion mining, model estimation, one topic, language processing, probabilistic topic model, word sentiment mining, topic mining, topic choice
5350ccd0-beab-48fc-8484-d8e6a38c4cbf	bd76c12f-bd57-4677-8aa1-50b46227d456	mixture model	likelihood function, data point, likelihood estimator, word distribution, language model, background words, special case, high probabilities, maximum likelihood, maximum likelihood estimator, background language, objective function, background language model, background model	mixture model estimation, topic model, model estimation part, estimation part, datum frequency, model estimation, probabilistic topic model, high frequency word, probabilistic topic, frequency word
93efd70b-16b1-45f1-9c81-c0f2aeb7c9ee	4b1fb2d3-4f9b-4850-a355-c2ea0ef0344a	topic model, probabilistic topic	bayes rule, mixture model, word distribution, likelihood estimate, topic word, background words, topic models, maximum likelihood, bayesian inference, maximum likelihood estimate, parameter values, world distribution, background model	algorithm part, opinion mining, language processing, maximization algorithm part, probabilistic topic model, topic mining, topic choice, word association, expectation - maximization, text representation, maximization algorithm
4c3d9363-8e43-44fe-ab21-8740cfd1a8c5	cbf1da89-1466-4d25-b81c-6d345e9b88c7		likelihood function, bayes rule, common words, text mining, word distribution, word distributions, topic word, background words, high probabilities, general idea, parameter values, world distribution, background model	e - step, topic model, random value, likelihood change, probabilistic topic model, paper 1 present, e - ste, expectation - maximization, probabilistic topic, maximization algorithm
